asli	ganti
adiil	adil
aiib	aib
ga	tidak
gak	tidak
gk	tidak
krg	kurang
mlng	malang
mls	malas
mngkn	mungkin
mslh	masalah
munafikun	munafik
nekad	nekat
ngga	tidak
nggak	tidak
nuduh	tuduh
pjg	panjang
plsu	palsu
pnas	panas
pnik	panik
resiko	risiko
sdkt	sedikit
skit	sakit
syhok	syok
tak	tidak
utang	hutang
allaaah hu akbar	allahu akbar
allaho akbar	allahu akbar
allahu akbarrrr	allahu akbar
angkt	angkat
baik2	baik-baik
benar2	benar-benar
benr	benar
bnar	benar
bnr	benar
bnr2	benar-benar
bnyak	banyak
bnyk	banyak
brani	berani
brrt	berarti
brrti	berarti
brtnggung jwb	bertanggungjawab
bsar	besar
bsr	besar
byak	banyak
byk	banyak
dkung	Dukung
handal	andal
hati2	hati-hati
hrn	heran
jls	jelas
kuwat	kuat
mendkung	mendukung
mmpu	mampu
ngarti	mengerti
pnting	penting
pntng	penting
pst	pasti
psti	pasti
sgt	sangat
sngat	sangat
sprt	seperti
sprti	seperti
tpat	tepat
trbts	terbatas
trima	terima
ttap	tetap
ttp	tetap
ykin	yakin
ykn	yakin
yg	yang
dgn	dengan
hny	hanya
